publication_week,entity,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance
2011-09-05/2011-09-11,Sinn Féin,1,1,0.766,105454,0.0
2024-02-05/2024-02-11,Gaza,1,1,0.816,54859,0.5
2024-02-05/2024-02-11,Israel,1,1,0.816,54859,0.5
2024-02-05/2024-02-11,Russia,1,1,0.816,54859,0.5
2024-02-05/2024-02-11,Ukraine,1,1,0.816,54859,0.5
2024-08-19/2024-08-25,Defence Forces,1,1,0.744,57886,0.0
2025-02-10/2025-02-16,Defence Forces,1,1,0.976,409767,-0.8
2025-02-10/2025-02-16,Government,1,1,0.976,409767,-0.8
2025-02-10/2025-02-16,Micheál Martin,1,1,0.976,409767,-0.8
2025-02-17/2025-02-23,EU,1,1,0.94,422995,0.0
2025-02-17/2025-02-23,Ukraine,1,1,0.94,422995,0.0
2025-03-31/2025-04-06,Gaza,1,1,0.747,63038,-0.75
2025-03-31/2025-04-06,Government,1,1,0.747,63038,-0.75
2025-04-21/2025-04-27,Donald Trump,1,1,0.743,56491,0.5
2025-04-21/2025-04-27,Fianna Fáil,1,1,0.743,56491,0.5
2025-04-21/2025-04-27,Fine Gael,1,1,0.743,56491,0.5
2025-04-21/2025-04-27,Gaza,1,1,0.743,56491,0.5
2025-04-21/2025-04-27,Government,1,1,0.743,56491,0.5
2025-04-21/2025-04-27,Israel,1,1,0.743,56491,0.5
2025-04-21/2025-04-27,UN Security Council,1,1,0.743,56491,0.5
2025-06-23/2025-06-29,Dáil,1,1,0.627,14950,0.0
2025-06-23/2025-06-29,Government,1,1,0.627,14950,0.0
2025-06-23/2025-06-29,NATO,1,1,0.627,14950,0.0
2025-06-23/2025-06-29,Palestine,1,1,0.627,14950,0.0
2025-06-23/2025-06-29,UN,1,1,0.627,14950,0.0
2025-10-27/2025-11-02,Dáil,1,1,0.743,56491,0.0
2025-10-27/2025-11-02,Government,1,1,0.743,56491,0.0
2025-10-27/2025-11-02,Sinn Féin,1,1,0.743,56491,0.0
2025-11-10/2025-11-16,Government,1,1,0.235,0,0.0
2025-12-15/2025-12-21,Defence Forces,1,1,0.819,59435,0.0
2025-12-15/2025-12-21,Government,1,1,0.819,59435,0.0
2025-12-15/2025-12-21,Helen McEntee,1,1,0.819,59435,0.0
2025-12-15/2025-12-21,Russia,1,1,0.819,59435,0.0
2025-12-22/2025-12-28,Government,1,1,0.819,59435,0.0
2025-12-22/2025-12-28,Labour Party,1,1,1.029,374710,0.0
2025-12-22/2025-12-28,Russia,1,1,0.819,59435,0.0
2025-12-22/2025-12-28,Sinn Féin,1,1,1.029,374710,0.0
2025-12-22/2025-12-28,Ukraine,2,2,1.848,434145,0.0
2025-12-22/2025-12-28,Volodymyr Zelenskiy,1,1,0.819,59435,0.0
2025-12-29/2026-01-04,Defence Forces,1,1,0.977,416834,0.0
2025-12-29/2026-01-04,Fine Gael,1,1,0.977,416834,0.0
2025-12-29/2026-01-04,Government,1,1,0.939,416834,0.0
2025-12-29/2026-01-04,United States,1,1,0.977,416834,0.0
