article_id,publication_datetime,publication_week,Headline,Outlet,Reporter,contributor_display_name,contributor_type,synthetic_author_flag,opinion_attribution,opinion_owner,opinion_owner_type,stance_owner_side,primary_voice_score,secondary_voice_score,mixed_voice_score,secondary_cue_count,primary_cue_count,mixed_cue_count,reported_actor_count,attribution_confidence,attribution_evidence,dominant_frame,cluster_display_name,stance_bucket,stance_score,mention_weight,Estimated Reach,Link,opinion_attribution_v2,opinion_attribution_label,is_actor_mediated,is_publication_owned,is_contested_or_multi_actor
1,2026-05-06,2026-05-04/2026-05-10,"Colm McCarthy: Amid uncertainty, prudent progress is needed",The Irish Farmers Journal,,Mark Duffy,synthetic_demo_author,True,mixed_reported_opinion,multiple_actors,multiple_reported_actors,mixed_or_unclear,1.3,6.8,5.2,2,0,4,4,medium,"secondary cues: \bin response to\b | mixed cues: \bwhile\b, \bbut\b | actors: Colm McCarthy, Cabinet, NATO, Donald Trump",Budget / Fiscal / Public Finances,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,1.033322265773942,419627,http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238,multi_actor_contested_reported_opinion,Multi-actor / contested reported opinion,True,False,True
2,2026-05-06,2026-05-04/2026-05-10,Irish Neutrality,Dublin People,,Kate Molloy,synthetic_demo_author,True,factual_or_low_opinion_reporting,none_clear,factual_or_low_opinion,mixed_or_unclear,0.0,0.7,0.0,0,0,0,1,low,actors: NATO,Other Neutrality Debate,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,0.7814479825987805,57927,,factual_low_opinion_reporting,Factual / low-opinion reporting,False,False,False
3,2026-05-06,2026-05-04/2026-05-10,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,The Irish Times,,Lisa Power,synthetic_demo_author,True,mixed_reported_opinion,multiple_actors,multiple_reported_actors,move_away_or_align,1.3,10.8,5.2,9,0,10,10,medium,"secondary cues: \bsaid\b, \btold\b, \bwarned\b, \bsuggested\b | mixed cues: \bwhile\b, \bbut\b | actors: Micheál Martin, Sergiy Kyslytsya, Volodymyr Zelenskiy, Kathy Sheridan, Fianna Fáil",Ukraine / Russia / Moral Responsibility,Ukraine war and moral neutrality,Move away / stronger alignment,0.488,1.0743016906710234,416834,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,multi_actor_contested_reported_opinion,Multi-actor / contested reported opinion,True,False,True
5,2026-05-05,2026-05-04/2026-05-10,BUYER'S REMORSE AND BREXIT,The Mayo News,,Cian O'Neill,synthetic_demo_author,True,mixed_reported_opinion,multiple_actors,multiple_reported_actors,preserve_neutrality,2.5,6.4,5.2,3,1,12,2,medium,"secondary cues: \bbacked\b, \baccording to\b, \baccording to .* | primary cues: \bireland should\b | mixed cues: \bhowever\b, \bbut\b | actors: Labour Party, Donald Trump",Triple Lock / UN Mandate,Ukraine war and moral neutrality,Preserve / strengthen neutrality,-0.667,0.6703331641380599,1500,,multi_actor_contested_reported_opinion,Multi-actor / contested reported opinion,True,False,True
6,2026-05-05,2026-05-04/2026-05-10,Galway Talks - Neutrality,Galway Talks,,Cian O'Neill,synthetic_demo_author,True,primary_publication_opinion,publication_voice,publication_or_contributor_voice,preserve_neutrality,2.1,0.0,0.0,0,0,0,0,high,,Other Neutrality Debate,Triple Lock and UN mandate debate,Preserve / strengthen neutrality,-0.667,0.7487603554338453,65000,,publication_owned_opinion,Publication-owned opinion,False,True,False
7,2026-05-05,2026-05-04/2026-05-10,Public meeting on neutrality in Galway,Connacht (Connaught) Tribune,,Sean O'Sullivan,synthetic_demo_author,True,secondary_reported_opinion,Government,reported_actor,preserve_neutrality,0.0,5.8,2.0,1,0,1,4,high,"secondary cues: \brejected\b | mixed cues: \bwhile\b | actors: Government, Ukraine, Gaza, Quakers",Other Neutrality Debate,Triple Lock and UN mandate debate,Preserve / strengthen neutrality,-0.667,0.7842819732227284,62560,https://connachttribune.ie/news/public-meeting-on-neutrality-in-galway-8114409,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
9,2026-05-04,2026-05-04/2026-05-10,Letters to the Editor: Neutralising Ireland’s neutrality,The Irish Examiner,,Conor Ryan,synthetic_demo_author,True,mixed_reported_opinion,multiple_actors,multiple_reported_actors,preserve_neutrality,2.5,7.8,4.4,3,1,3,6,medium,"secondary cues: \bsaid\b, \bstated\b | primary cues: \bthe case for\b | mixed cues: \bhowever\b, \bbut\b | actors: Micheál Martin, Fianna Fáil, Government, Dáil, NATO",Shannon / US Military / Anti-war,Ukraine war and moral neutrality,Preserve / strengthen neutrality,-0.667,1.0736088861492044,409767,https://irishexaminer.com/opinion/yourview/arid-41838741.html,multi_actor_contested_reported_opinion,Multi-actor / contested reported opinion,True,False,True
10,2026-05-04,2026-05-04/2026-05-10,Nolan’s Peelers series is both a harrowing insight into the problems facing NI and a damning reflection on Stormont’s failures,The Belfast Telegraph,,Eoin Murphy,synthetic_demo_author,True,mixed_reported_opinion,multiple_actors,multiple_reported_actors,mixed_or_unclear,1.3,8.4,5.2,5,0,6,2,medium,"secondary cues: \btold\b, \bclaimed\b, \bmaintained\b | mixed cues: \bwhile\b, \bbut\b | actors: Sinn Féin, Government",Budget / Fiscal / Public Finances,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,1.0126908692575065,252183,,multi_actor_contested_reported_opinion,Multi-actor / contested reported opinion,True,False,True
11,2026-05-03,2026-04-27/2026-05-03,"Ireland must retain triple lock to protect peacekeeping role, says former PDForra chief",The Irish Examiner,Sean O'Riordan,Sean O'Riordan,real_reporter_metadata,False,secondary_reported_opinion,Government,reported_actor,preserve_neutrality,6.0,10.8,2.0,15,5,0,6,medium,"secondary cues: \bsaid\b, \bsays\b, \bargued\b, \bmaintained\b | primary cues: \bireland must\b, \bmust retain\b | actors: Government, Dáil, Defence Forces, NATO, UN Security Council",Peacekeeping / Identity / Tradition,Triple Lock and UN mandate debate,Preserve / strengthen neutrality,-0.95,0.9385080783174584,409767,https://irishexaminer.com/news/arid-41837093.html,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
12,2026-05-03,2026-04-27/2026-05-03,Today With David McCullagh - Neutrality,Today With David McCullagh,,Fiona Murray,synthetic_demo_author,True,primary_publication_opinion,publication_voice,publication_or_contributor_voice,mixed_or_unclear,4.3,0.0,0.8,0,1,1,0,high,primary cues: \bwe should\b | mixed cues: \bbut\b,Other Neutrality Debate,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,1.0671053236163617,349000,,publication_owned_opinion,Publication-owned opinion,False,True,False
