Outlet,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance,avg_sentiment,top_cluster,top_frame,top_tier,sample_headline,sample_link,mentions_s,unique_stories_s,weighted_mentions_s,estimated_reach_s,impact_score,share_of_voice,entity_type,stance_label,narrative_role,actor_type,entity_group
The Irish Times,37,37,36.25414538342482,15422858,-0.1825135135135135,0.15,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Top,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,1.0,1.0,1.0,1.0,100.0,0.0615978106295082,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The Irish Independent,27,27,25.423826277867448,3408559,-0.0259629629629629,0.0722222222222222,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Top,New law will free IDA and EI to support firms with defence links,https://independent.ie/world-news/pope-leo-xiv-delivers-easter-message-rejecting-trump-administrations-depiction-of-warlike-god-as-iran-conflict-rages/a130741528.html,0.7222222222222222,0.7222222222222222,0.6993177103379794,0.2210069625227697,57.3,0.0431964957380455,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Irish Examiner,21,21,21.007480146479324,8605107,-0.289095238095238,0.2642857142857143,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Top,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html,0.5555555555555555,0.5555555555555555,0.5767066354672129,0.5579450319778604,56.4,0.0356928778814243,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
The Sligo Champion,28,2,20.802918052534327,1579107,0.0,0.0232142857142857,Referendum and constitutional protection,Ukraine / Russia / Moral Responsibility,Mid,Irish Independent,https://independent.ie/sport/soccer/league-of-ireland/league-of-ireland-tensions-flare-as-shels-and-bohs-players-and-staff-clash-before-dublin-derby/a1814346165.html,0.7499999999999999,0.0277777777777777,0.5710273754023938,0.1023874433649068,35.6,0.0353453154994805,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
The Pat Kenny Show,18,1,13.765643388614924,4266000,-0.1142222222222222,-0.0166666666666666,Ukraine war and moral neutrality,Other Neutrality Debate,Bottom,The Pat Kenny Show - Neutrality,,0.4722222222222222,0.0,0.3756514277221417,0.2766024299776344,28.6,0.0233885942056412,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
RTE,11,10,10.47439525469142,4121810,-0.25,0.1181818181818181,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Top,Political fallout ongoing after Healy-Rae resignation,https://www.rte.ie/news/2026/0415/1568354-politics-live-blog,0.2777777777777777,0.25,0.2842764631335021,0.2672533197154509,27.2,0.0177965804608949,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Liveline,14,1,10.785067714751849,4396000,-0.1613571428571428,0.0678571428571428,Ukraine war and moral neutrality,Other Neutrality Debate,Bottom,Liveline - Neutrality,,0.361111111111111,0.0,0.2929016666677145,0.2850314773046604,24.2,0.0183244302601444,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
Galway Bay FM,15,3,12.429479882558004,1783690,-0.3417333333333333,-0.0866666666666666,Sinn Féin and government neutrality clash,Other Neutrality Debate,Mid,Galway Bay FM - Neutrality,https://www.galwaybayfm.ie/galway-bay-fm-news-desk/people-before-profit-selects-denman-rooke-to-contest-galway-west-by-election-214638,0.3888888888888888,0.0555555555555555,0.3385555029900743,0.1156523648210986,22.7,0.0211183780484074,Media outlet,Lean preserve,Media amplifier,Media outlet,Media outlet
RTE - Radio 1,10,1,10.186361385536175,4500000,0.0325,0.065,Ukraine war and moral neutrality,Other Neutrality Debate,Top,RTE - Radio 1 - Neutrality,,0.25,0.0,0.2762797750919311,0.291774715166281,22.2,0.0173071948874807,Media outlet,Mixed / unclear,Media amplifier,Media outlet,Media outlet
Classic Hits 4FM,12,1,11.77490088271145,2400000,-0.461,-0.1875,Sinn Féin and government neutrality clash,Other Neutrality Debate,Top,Classic Hits 4FM - Neutrality,,0.3055555555555555,0.0,0.3203824177355925,0.1556131814220165,20.8,0.0200062118989045,Media outlet,Strong preserve,Media amplifier,Media outlet,Media outlet
