publication_week,mentions,weighted_mentions,estimated_reach,avg_stance,avg_sentiment
2011-09-05/2011-09-11,1,0.766,105454,0.0,0.0
2024-02-05/2024-02-11,1,0.816,54859,0.5,-1.0
2024-07-29/2024-08-04,1,0.742,54332,0.0,0.0
2024-08-05/2024-08-11,1,0.939,409767,0.0,0.0
2024-08-19/2024-08-25,1,0.744,57886,0.0,0.0
2025-02-10/2025-02-16,1,0.976,409767,-0.8,0.0
2025-02-17/2025-02-23,1,0.94,422995,0.0,0.0
2025-03-31/2025-04-06,1,0.747,63038,-0.75,0.0
2025-04-21/2025-04-27,1,0.743,56491,0.5,0.65
2025-06-23/2025-06-29,1,0.627,14950,0.0,0.35
2025-09-22/2025-09-28,1,0.741,54139,0.0,0.0
2025-10-27/2025-11-02,1,0.743,56491,0.0,0.0
2025-11-10/2025-11-16,1,0.235,0,0.0,0.0
2025-12-08/2025-12-14,1,0.939,416371,0.0,0.0
2025-12-15/2025-12-21,1,0.819,59435,0.0,-0.65
2025-12-22/2025-12-28,2,1.848,434145,0.0,-0.175
2025-12-29/2026-01-04,2,1.916,833668,0.0,0.0
2026-01-12/2026-01-18,11,7.436,1312186,-0.042,0.027
2026-01-19/2026-01-25,34,27.703,4458223,0.315,-0.125
2026-01-26/2026-02-01,71,53.875,8544923,-0.45,-0.054
2026-02-02/2026-02-08,25,20.73,4127810,-0.149,0.132
2026-02-09/2026-02-15,68,51.987,8266346,-0.011,-0.105
2026-02-16/2026-02-22,31,25.211,3999052,-0.066,0.065
2026-02-23/2026-03-01,42,34.335,8373887,-0.156,0.077
2026-03-02/2026-03-08,45,35.298,6547985,-0.17,0.086
2026-03-09/2026-03-15,79,61.557,8721822,0.101,0.02
2026-03-16/2026-03-22,58,47.31,10780698,-0.075,0.028
2026-03-23/2026-03-29,22,19.576,5481965,-0.204,0.252
2026-03-30/2026-04-05,27,21.918,4952770,-0.263,-0.033
2026-04-06/2026-04-12,68,53.48,7804161,-0.497,0.116
2026-04-13/2026-04-19,110,85.372,14525386,-0.737,0.098
2026-04-20/2026-04-26,10,9.319,2920159,-0.075,0.26
2026-04-27/2026-05-03,13,10.994,2613334,-0.087,0.15
2026-05-04/2026-05-10,8,7.179,1685398,-0.272,0.081
