publication_week,stance_bucket,mentions,weighted_mentions,estimated_reach
2011-09-05/2011-09-11,Mixed / procedural / unclear,1,0.766,105454
2024-02-05/2024-02-11,Move away / stronger alignment,1,0.816,54859
2024-07-29/2024-08-04,Mixed / procedural / unclear,1,0.742,54332
2024-08-05/2024-08-11,Mixed / procedural / unclear,1,0.939,409767
2024-08-19/2024-08-25,Mixed / procedural / unclear,1,0.744,57886
2025-02-10/2025-02-16,Preserve / strengthen neutrality,1,0.976,409767
2025-02-17/2025-02-23,Mixed / procedural / unclear,1,0.94,422995
2025-03-31/2025-04-06,Preserve / strengthen neutrality,1,0.747,63038
2025-04-21/2025-04-27,Move away / stronger alignment,1,0.743,56491
2025-06-23/2025-06-29,Mixed / procedural / unclear,1,0.627,14950
2025-09-22/2025-09-28,Mixed / procedural / unclear,1,0.741,54139
2025-10-27/2025-11-02,Mixed / procedural / unclear,1,0.743,56491
2025-11-10/2025-11-16,Mixed / procedural / unclear,1,0.235,0
2025-12-08/2025-12-14,Mixed / procedural / unclear,1,0.939,416371
2025-12-15/2025-12-21,Mixed / procedural / unclear,1,0.819,59435
2025-12-22/2025-12-28,Mixed / procedural / unclear,2,1.848,434145
2025-12-29/2026-01-04,Mixed / procedural / unclear,2,1.916,833668
2026-01-12/2026-01-18,Mixed / procedural / unclear,6,3.252,909767
2026-01-12/2026-01-18,Move away / stronger alignment,2,1.899,213591
2026-01-12/2026-01-18,Preserve / strengthen neutrality,3,2.286,188828
2026-01-19/2026-01-25,Mixed / procedural / unclear,10,8.634,2282308
2026-01-19/2026-01-25,Move away / stronger alignment,18,13.572,1077870
2026-01-19/2026-01-25,Preserve / strengthen neutrality,5,4.596,945911
2026-01-19/2026-01-25,Reform / redefine neutrality,1,0.902,152134
2026-01-26/2026-02-01,Lean preserve neutrality,1,0.688,80000
2026-01-26/2026-02-01,Mixed / procedural / unclear,19,15.068,3090960
2026-01-26/2026-02-01,Move away / stronger alignment,1,0.258,0
2026-01-26/2026-02-01,Preserve / strengthen neutrality,50,37.86,5373963
